date,title,rating,review,sentiment,feature
2019-02-04,usability,3.0,I found these knives to be less than sharp and useable,1,Cover
2019-02-21,Get what you pay for - they’re okay,3.0,"You get what you pay for. These will do the job but they are mediocre knives and not that well made. Not very sharp. Board is okay. But given the price, they are okay.",0,Ease of use
2019-03-21,Fell Apart!!!,1.0,The paring knife fell apart when I went to wash it.,1,Value
2019-04-22,Pretty but Not very durable.,3.0,"The red one is strong and holding it's own. However, the purple one broke the first time I used it to cut a cantaloupe",0,Size
2019-07-17,Purchased for RV,2.0,"The cutting board is of expected quality and am happy with it. One of the knives (the purple one) has already started to break at the handle. It appears that the blades do not go all the way through the handle and with the handles being plastic, the blade broke through the top of the handle under pressure after only a couple of outings and will likely be unusable in a couple more uses. I would not buy this product again. Will simple replace each as they break with a better brand.",0,Size
2019-11-20,Not dishwasher safe,2.0,"This are nice knives and look great. However I put one in the dishwasher and the white went a little yellow. They are sharp now, but I am not sure how well they can be sharpened with the black paint. They don't fit perfectly into the covers, especially the tiny knife. The board is a practical size, and is staying white even with daily use.I reduced the review - after 6 months ALL the whites of the knives are a definite yellow! One knife came out it's handle, but was glued back.",1,Size
2019-12-13,No good,2.0,They are useless I was hoping to get sharp knives . They are extremely dull,1,Color
2019-12-20,"Not as advertised, used not new",2.0,"What I liked was they were supposed to come with protective covers &  a cutting board plus color variety seemed really nice, what I didn't like is that I think I got a used set . The cutting board was very scratched up & actually looked ""used"", there was no sharpener included which was supposed to be part of the set, there  were no covers on all the knives except for the 2 large ones & they ARE very sharp, it wasn't easy to realize the covers were gone as they are the same color as the knives until we washed them & got cut, so be careful when you open them to be sure there are covers on every knife, quite  frankly I think I got a ""used set"", not new because the condition just didn't look new, plus all the scratches on the cutting board just looked like it had been used, other than that It would have been a really good buy. Basically what it comes down to is I think I got a previously owned set instead of new. I donated them to the Salvation Army. They are non-refundable item.",1,Sharpness
2019-12-20,Not Safe,1.0,These knives cut you fingers when your using them to cut.,1,Cover
2019-12-21,Just ok,3.0,Nice knifes but handles are awful. Blades dull easily but included sharpener works very well. Top of blade are sharp and will cut your fingers if placed in them when using them. 😡,0,Ease of use
2019-12-21,Good gift set for brand new kitchen users with no other knives,2.0,"I don't like the color. I prefer a bright stainless steel knife look. I can see using these being a safety hazard in low lighting or with inexperienced cooks - because the knife itself is actually black in color. the handle is black and white. These are not a set I'd want for myself, but can see them as a good gift item for brand new cooks or college kids wanting to cook. The cutting board is very, very small. I haven't used it enough to comment, other than to say it's only skid proof when used on the underside. So, the eatneat logo that displays on the drip side/juice grooves is totally useless. lol  I don't understand that. Quite odd, since you need the juice grooves when using ANY cutting board. :-/ Have not used the sharpener.  Protective sheathes are good idea, but mine are in black like the knife blade.... another safety hazard. Transaction with seller was fine. No problems there. It's just that the product does not meet my requirements nor expectations in a kitchen. Will update if I find anything else. The item I ordered was : EatNeat 12-Piece Black Sharp Knife Set: 5 Stainless Steel Kitchen Knives with Covers, Cutting Board and Sharpener. Maybe the more ""colorful"" sets are better to prevent safety issues? Idk.",1,Ease of use
2019-12-27,Poorly made and designed,2.0,Handles too shortBack end of the blade was sharp. Sliced my finger in the back of the blade.Dulls quickly,1,Size
2020-01-06,Not sturdy,3.0,The blade of one popped out while chi hurting after just a couple uses.,1,Color
2020-01-07,Nice set for the price,1.0,I needed new cutting board and a knife or two..this little set fit the bill and I got it on lightning deal so price was right too. I wish they came sharp but after few sharpening sessions I got most of them working well.Update:These knives didn’t even last 6 months..hard to sharpen and they come out the handles. Piece of junk!,1,Stain resistance
2020-01-12,You get what u paid for.  Cheap.,1.0,Knives are sharp but junk the cone out of the plastic part,0,Value
2020-01-17,Cheap and not functional as expected,1.0,Very cheap product not at all what I was expecting g should be taken off your inventory,1,Sharpness
2020-01-21,Meh...,3.0,"I am used to expensive, nice Japanese knives, but I just needed a few more sizes and didn't feel like spending $100+ per knife and these had such good reviews I thought I would try. They aren't even sharp enough to cut a tomato properly - so if you've got nice knives, and you're not a college student on a budget, I woudn't suggest these at all.",1,Cover
2020-02-09,Defective,1.0,Thay were chiped and touched up with paint. Not good,0,Ease of use
2020-03-03,Used knifes,1.0,Received used knifes. exchange started will update when new set arrives.,1,Size
2020-03-08,Welp that happened ... sigh,2.0,Well I bought this because my office bought the colorful one and I reallllly love our office knifes they’re alway sharp and they’re super easy to use... when mine came in I was disappointed 😔 the knifes had scuff marks on them and they weren’t sharp at all had to sharpen them already just kinda disappointed with the look and their overall presentation. I expected more you know? I really love the ones from the office.,0,Quality
2020-03-22,Not the best,2.0,The knives don't cut very well,0,Stain resistance
2020-04-11,Not the best but ok I guess,3.0,At first they were good knives and cut so well but after a while the handle came off of the small one. I haven't even used it much. So I'm expecting it to happen to the rest. Very disappointing.,0,Color
2020-04-19,Colorful knife set,2.0,"Thios set is giftable because it ;ooks good.  I was pleased when I received the knives because each one has a slip on cover. m I knew from the price that these were not ""quality"" knives but I expected them tto last for a fair amount of time.  THe paring knife blade is already loose in the handle and I just got them in Feb.  2 months and one is looswe3==BAD!",1,Value
2020-04-20,Not worth the money. They are only pretty.,2.0,"These are sharp enough but not strong. I used the large one , which I do not even use often, to cut meat and the handle came off in my hand. This was two weeks after purchase.",0,Color
2020-05-03,Knives were dull,2.0,Knives included were dull and sharpener didn't work very well,0,Size
2020-05-06,Poor Quality,2.0,"You get what you pay for.  Knives are not sharp enough.  If you are a serious cook, pass on these.  I bought them because where I'm staying doesn't have knives and I wanted something to use until I get my good knives.  If you want good quality, spend the money and get top quality knives.",0,Color
2020-05-16,Poor craftsmanship,1.0,Knives came all scratched up inside the protected sleeves and the whole set was super dirty and dusty.,1,Ease of use
2020-05-18,Eh. Price reflects quality..,3.0,"Good price, quality is iffy. Some of the knives have held up, the blades are good, and the cutting board is great, but a couple of the knife blades have come loose from their handle. They pop back in and can be used if super careful but I had to buy replacement paring knife and I wasn't thrilled with the chef's knife.",0,Stain resistance
2020-05-18,Good knives.. but my kit appeared used.,3.0,"Good knives for the cost.. but a lot of knives had random scratches in them and the handles were slightly dirty which indicates to me someone tested them out or something and sent them back. Not really fond of that, but I guess since they’re washable it’s doable.",0,Sharpness
2020-06-05,Don’t  waste your money.,3.0,This set its the worse ever.Horrible quality.,1,Quality
2020-06-07,Dull,3.0,Dull. Would not cut onion without pressure,0,Quality
2020-06-12,Dull fast,2.0,"The sharpener that came with it, doesn't work. The knives are very quickly dulled. But if you have a sharpener they are good for like a camping knife set",1,Value
2020-06-16,These were not sharp at all,1.0,"The knives don't cut very well, they are extremely dull.I advise to keep looking, don't waist your time.",1,Cover
2020-06-17,Cheap and don't hold an edge...,1.0,"Purchased on sale on amazon and good thing as 20 bucks is a rip off.Pros: they look cool and have protection for blades(don't need as they dull if look at them wrong)Cons: everything about them... Too thin,  dull extremely quicklyI've worked in restaurants and used about a varied type of kitchen knives around and these are hands down the worst.I threw them away.Do yourself a favor and goto a thrift store and spend 15 bucks on any used set and you will be happier.Once up you've used a half way decent set of knives you'll realize how bad these are.",1,Ease of use
2020-06-20,Waste of money,1.0,They were super flimsy and not well made. These are rather cheaply made. I don’t expect them to last long after using them for a couple months.,1,Value
2020-06-22,Wash by hand and don’t get gravy on the handles. Won’t wash off,2.0,Don’t get gravy on the handles it won’t wash off,0,Ease of use
2020-06-23,Terrible quality,1.0,Cut myself on the first day of use. Thought it was pretty sharp. Two days of use and it has gone totally blunt!!! As bad as an old knife. Plastic handles make it look cheap.,1,Stain resistance
2020-07-01,Not sturdy,1.0,"I used the large one , which I do not even use often, to cut meat and the handle came off in my hand.",1,Ease of use
2020-07-04,Poor Quality,1.0,THe paring knife blade is already loose in the handle and I just got them in June.,1,Cover
2020-07-07,No good,1.0,They are useless I was hoping to get sharp knives . They are extremely dull.,0,Stain resistance
2020-07-10,Knives barely cut and handles discolors,1.0,"Out of th box, this set of knives will barely cut through an orange or lemon skin.  You basically must put a lot of pressure on the blade just to break the skin.  Also, when I purchased, I read reviews about the handle discoloring, it is totally true.  After cutting strawberries, the handle is now permanently redish instead of white.",0,Sharpness
2020-07-17,Did not receive full set,2.0,I had ordered this set of knifes but when they arrived one was missing .,1,Stain resistance
2020-07-17,The white on the handle stains easily,3.0,"I cut up a watermelon and the white on the handle turned orange. I've tried to scrub it off, with no success.",0,Quality
2020-07-19,Missing pieces,1.0,Board was not included and 2 knife was missing.,0,Cover
2020-07-29,Cheap quality,1.0,I tried to take out a knife out of the box and the blade was detached from the handle. I almost cut myself. It was already in two parts in the brand new box.,0,Value
2020-07-31,Broke in 1 week,1.0,Had it for 1 week and fell apart while washing,0,Value
2020-07-31,Not worth it,1.0,Became dull way too soon!,0,Sharpness
2020-08-04,Not Worth the Investment,1.0,"Adding a photo isn’t necessary, it’d be wasting my space on this device, and its true color wouldn’t come out well anyway.  Your pictures on the above item was very misleading when originally thought about being purchased.  I’d like to return it without items even being used.  It’s too heavy; yet, cheaply made.  I don’t like it.  Nor the sizes of your brand.  Again, nice pictures online - very misleading.  I pray I don’t have to pay for shipping charges...Enjoy your day!",1,Quality
2020-08-05,"Ummmm, thanks for the lifetime warranty, I'll be needing it!",2.0,"Knives arrived DULL AF.  I thought, ""thankfully, there's a sharpener"" .... Wrong.  Don't waste your money.",1,Color
2020-08-14,Decent except one knife is coming apart,3.0,Seemed like decent quality for the price but the orange knife started falling apart after just a month. Maybe that one was just defective because the others seem fine so far.Trying to figure out how to get a new one.,1,Stain resistance
2020-08-25,Missing knife,1.0,The bread knife was missing from the box,0,Stain resistance
2020-09-01,Handles break easily,3.0,The knifes are Sharp but the handles break easily. Only used the red one twice and the handle broke off.,1,Sharpness
2020-09-02,Nice set but they really don’t work!,2.0,I haven't used them yet but they are very sharp. I'm happy they have covers for each of the blades. Nice set as far as I know. Once I get to use them I can say more. I finally used them and I’m not happy with them. I couldn’t cut through things that my old knives  that are dull did. I ended up using one of my very old knives to get the job done. Not worth the money!,0,Ease of use
2020-09-02,Don't buy these,1.0,First I'd like to state that I do not own a dishwasher. All items are washed by hand. I have had this product for 6 weeks and the black paint (yes I said paint) is coming off the knife and going into food. Not only is this poor quality but its a health and safety issue. I am just out of my return period but will request one just the same.,1,Ease of use
2020-09-12,They rust right away.,1.0,I would not recommend. After two uses one of the knives already has rust on the edge of the blade.,1,Stain resistance
2020-09-15,No comprar este articulo,1.0,"Horrible, tienen una semana solo 7 días y ya están amarillos no los recomiendo,",1,Color
2020-09-19,Waste of money.,1.0,Given as a gift and 2 knives fell apart after 1 use. Junk,0,Color
2020-09-20,Dull,3.0,"They are very cute, but dull",1,Value
2020-09-21,Unremovable stain on handle!!,2.0,"I purposely did not write a review until after a month of use. Pretty to look at..colors brilliant, sharp, but was not too happy with the discoloration.  After  slicing  tomatoes,or cutting mangoes or any fruit that is dark I noticed that it developed an orange tint on the handle that no matter how many hand washing does not go away. How does one remove the stain? So far I have only used the paring knife and butcher knife.",0,Cover
2020-10-01,Not worth it,1.0,I bought this as a gift for a friend. Felt embarrassed that I gave this set as a gift. The knives aren't sharp enough and need repeated sharpening. Will not recommend this.,0,Quality
2020-10-06,I bought these knives because I liked the covers.,2.0,"The cutting board is good.  The knives are good and easy to sharpen.  However, the white handles of the knives stain easily.  If you cut a tomatoes or carrots they will discolor and no amount of bleach will clean it.  But the knives them selves are good",0,Sharpness
2020-10-11,"Okay, not so durable.",3.0,"Overall quality is okay, the knife sharpener was useful for my other knives too. The red chef's knife's handle came off after a few months and I almost sliced my finger while using it. Could be more durable.",1,Stain resistance
